iter	Passed	Remaining
1398	10375	26706
1399	10383	26700
1400	10390	26691
1401	10396	26681
1402	10403	26673
1403	10410	26664
1404	10417	26654
1405	10424	26647
1406	10431	26639
1407	10438	26630
1408	10445	26621
1409	10453	26614
1410	10459	26605
1411	10466	26597
1412	10473	26587
1413	10480	26578
1414	10487	26570
1415	10493	26560
1416	10501	26555
1417	10508	26545
1418	10515	26537
1419	10522	26528
1420	10528	26518
1421	10535	26508
1422	10542	26499
1423	10548	26490
1424	10555	26480
1425	10562	26472
1426	10568	26462
1427	10580	26464
1428	10587	26457
1429	10593	26447
1430	10600	26437
1431	10606	26428
1432	10613	26418
1433	10620	26410
1434	10628	26404
1435	10635	26396
1436	10642	26387
1437	10649	26379
1438	10657	26372
1439	10663	26363
1440	10670	26354
1441	10677	26344
1442	10683	26335
1443	10689	26325
1444	10697	26319
1445	10704	26310
1446	10711	26301
1447	10718	26292
1448	10725	26283
1449	10732	26276
1450	10739	26266
1451	10746	26259
1452	10753	26249
1453	10760	26243
1454	10767	26233
1455	10777	26232
1456	10784	26225
1457	10790	26214
1458	10797	26204
1459	10804	26198
1460	10812	26191
1461	10820	26184
1462	10827	26176
1463	10833	26167
1464	10841	26159
1465	10848	26151
1466	10857	26147
1467	10863	26138
1468	10870	26129
1469	10877	26120
1470	10886	26116
1471	10892	26107
1472	10898	26096
1473	10905	26087
1474	10912	26078
1475	10918	26068
1476	10926	26062
1477	10934	26055
1478	10940	26046
1479	10947	26037
1480	10954	26028
1481	10961	26019
1482	10967	26010
1483	10974	26002
1484	10982	25996
1485	10989	25987
1486	10996	25978
1487	11002	25969
1488	11009	25961
1489	11017	25953
1490	11023	25943
1491	11030	25934
1492	11037	25925
1493	11044	25917
1494	11052	25913
1495	11059	25903
1496	11065	25894
1497	11072	25885
1498	11080	25880
1499	11087	25870
1500	11094	25862
1501	11100	25852
1502	11108	25845
1503	11114	25835
1504	11122	25828
1505	11129	25821
1506	11137	25814
1507	11144	25806
1508	11152	25800
1509	11161	25795
1510	11168	25788
1511	11175	25781
1512	11183	25773
1513	11189	25765
1514	11196	25756
1515	11206	25753
1516	11213	25745
1517	11221	25739
1518	11228	25731
1519	11235	25723
1520	11243	25718
1521	11251	25712
1522	11259	25704
1523	11266	25696
1524	11273	25689
1525	11283	25686
1526	11290	25679
1527	11297	25670
1528	11303	25661
1529	11310	25652
1530	11317	25643
1531	11325	25637
1532	11332	25628
1533	11339	25619
1534	11346	25612
1535	11355	25608
1536	11361	25599
1537	11369	25591
1538	11375	25582
1539	11382	25573
1540	11389	25565
1541	11396	25558
1542	11403	25549
1543	11410	25541
1544	11417	25532
1545	11424	25523
1546	11430	25513
1547	11437	25505
1548	11446	25500
1549	11453	25492
1550	11459	25483
1551	11466	25474
1552	11474	25467
1553	11480	25459
1554	11487	25450
1555	11494	25441
1556	11500	25431
1557	11508	25424
1558	11514	25414
1559	11523	25410
1560	11530	25401
1561	11536	25392
1562	11543	25384
1563	11551	25377
1564	11557	25367
1565	11564	25358
1566	11570	25348
1567	11577	25339
1568	11583	25330
1569	11589	25320
1570	11597	25314
1571	11604	25305
1572	11611	25298
1573	11618	25288
1574	11626	25283
1575	11633	25274
1576	11640	25266
1577	11646	25256
1578	11653	25247
1579	11660	25240
1580	11667	25231
1581	11675	25225
1582	11682	25217
1583	11689	25208
1584	11695	25199
1585	11703	25191
1586	11709	25181
1587	11717	25176
1588	11723	25167
1589	11730	25158
1590	11737	25149
1591	11744	25140
1592	11750	25132
1593	11757	25123
1594	11764	25114
1595	11770	25104
1596	11777	25096
1597	11785	25089
1598	11794	25087
1599	11801	25078
1600	11808	25071
1601	11815	25061
1602	11823	25056
1603	11830	25047
1604	11836	25038
1605	11843	25029
1606	11850	25021
1607	11857	25012
1608	11865	25005
1609	11871	24997
1610	11878	24988
1611	11885	24980
1612	11892	24971
1613	11898	24961
1614	11904	24951
1615	11913	24947
1616	11920	24939
1617	11927	24931
1618	11934	24922
1619	11941	24914
1620	11948	24907
1621	11956	24899
1622	11962	24890
1623	11969	24881
1624	11975	24873
1625	11982	24863
1626	11990	24857
1627	11997	24849
1628	12004	24840
1629	12009	24830
1630	12017	24824
1631	12024	24815
1632	12032	24808
1633	12038	24799
1634	12045	24791
1635	12052	24783
1636	12059	24775
1637	12068	24770
1638	12074	24760
1639	12081	24752
1640	12088	24744
1641	12096	24737
1642	12103	24729
1643	12109	24720
1644	12116	24712
1645	12123	24703
1646	12130	24695
1647	12138	24689
1648	12146	24683
1649	12152	24673
1650	12159	24664
1651	12165	24654
1652	12172	24647
1653	12179	24639
1654	12188	24633
1655	12194	24625
1656	12202	24618
1657	12208	24608
1658	12216	24602
1659	12223	24593
1660	12230	24585
1661	12236	24576
1662	12243	24567
1663	12250	24559
1664	12256	24550
1665	12264	24543
1666	12271	24534
1667	12278	24527
1668	12286	24520
1669	12292	24512
1670	12299	24504
1671	12306	24496
1672	12313	24487
